"id","customer_id","installation_date","status","pic_id","created_by","updated_by","created_at","updated_at","uninstallation_date","lead_person_id","installed_by","unistalled_by","remarks","idu_sn","ac_asset_id","custom_asset_name","odu_sn","last_deduction_date","contract_start_date","contract_end_date","total_debt","balance","service","payment_term","monthly_fee","device_activated","security_deposit_status","uninstallation_start_date","uninstallation_end_date","uninstallation_status"
3288,1461,"2024-02-19 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-02-19 09:57:10.419","2024-03-21 17:12:51.023664",NULL,NULL,NULL,NULL,NULL,"0000816",7,NULL,"0000801",NULL,"2024-02-19 09:57:10.418","2026-02-19 06:57:10.418",2640000,2530000,"Without Baridi Care","2 Years",110000,"Yes",False,NULL,NULL,NULL
3641,1630,"2024-03-21 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-03-21 10:59:30.538","2024-03-22 11:42:05.226049",NULL,NULL,NULL,NULL,NULL,"0000958",7,NULL,"0000904",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
3235,179,"2024-02-09 11:12:59.495","UNINSTALLED",NULL,NULL,NULL,"2024-02-09 11:12:59.495","2024-02-14 14:27:21.998651","2024-02-14",NULL,NULL,71,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2956,1286,"2023-12-26 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-12-26 09:53:42.265","2023-12-26 11:43:17.726647",NULL,NULL,NULL,NULL,NULL,"0001023",5,NULL,"0000555",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
3175,1257,"2024-01-31 00:00:00","ACTIVE",NULL,NULL,NULL,"2024-01-31 10:11:04.821","2024-02-19 14:13:51.281192",NULL,NULL,NULL,NULL,NULL,"0000741",7,NULL,"0000859",NULL,"2024-01-31 10:11:04.821","2025-01-31 07:11:04.821",2220000,NULL,"Without Baridi Care","1 Year",185000,"Yes",False,NULL,NULL,NULL
2907,1258,"2023-12-20 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-12-20 12:29:22.566","2023-12-23 16:36:14.608442",NULL,NULL,NULL,NULL,NULL,"0000404",7,NULL,"0000564",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2987,1304,"2023-12-29 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-12-29 12:53:04.333","2024-01-06 11:16:15.903591",NULL,NULL,NULL,NULL,NULL,"0000879",7,NULL,"0000789",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2575,1089,"2023-09-07 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-09-07 12:25:37.413","2024-03-05 21:01:19.232739",NULL,NULL,NULL,NULL,NULL,"0000647",6,NULL,"0000551",NULL,"2023-09-07 12:25:37.412","2024-09-07 09:25:37.412",1980000,1155000,"Without Baridi Care","1 Year",165000,"Yes",False,NULL,NULL,NULL
1987,839,"2023-03-31 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2023-03-31 05:56:19.737782","2023-09-14 11:20:30.116841","2023-09-14",NULL,NULL,71,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1779,726,"2023-02-22 00:00:00","PURCHASED",NULL,NULL,NULL,"2023-02-22 05:34:13.768314","2024-03-06 05:45:22.347708",NULL,NULL,NULL,NULL,NULL,"0000531",5,NULL,"0000448",NULL,"2023-02-22 00:00:00","2024-02-22 00:00:00",1740000,0,"Without Baridi Care","1 Year",145000,"Yes",False,NULL,NULL,NULL
